empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ATRI|0|NASDAQ|2020|03|31|22|00|16892|660.60498|625.429993|650|648.809998|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|1|NASDAQ|2020|03|30|15|30|9700|677.75|621.929993|650|625.109985|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|2|NASDAQ|2020|03|27|14|30|5200|655|615.5|615.5|626.700012|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|3|NASDAQ|2020|03|26|14|30|5500|657.429993|620|630.5|657.429993|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|4|NASDAQ|2020|03|25|14|30|7100|755|643.309998|664.900024|725|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|5|NASDAQ|2020|03|24|14|30|8500|736.929993|663.530029|733|685.76001|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|6|NASDAQ|2020|03|23|14|30|14700|653.940002|579|640.02002|618.01001|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|7|NASDAQ|2020|03|20|14|30|12800|704.130005|617.099976|617.099976|650|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|8|NASDAQ|2020|03|19|14|30|14600|664.099976|640|656|652.25|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|9|NASDAQ|2020|03|18|14|30|12000|682.26001|592.929993|655.5|647.080017|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|10|NASDAQ|2020|03|17|14|30|19000|675|615.099976|675|652|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|11|NASDAQ|2020|03|16|14|30|13700|661.030029|592.549988|620|597.099976|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|12|NASDAQ|2020|03|13|14|30|8700|658|625|640.700012|639.98999|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|13|NASDAQ|2020|03|12|14|30|10800|647.780029|617.950012|617.950012|638.98999|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|14|NASDAQ|2020|03|11|14|30|11200|682|638.23999|667|677.539978|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|15|NASDAQ|2020|03|10|14|30|5800|704.900024|649.950012|699.369995|704.900024|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|16|NASDAQ|2020|03|09|14|30|7200|700|672|698.340027|686.659973|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|17|NASDAQ|2020|03|06|15|30|13600|750|633.219971|715.030029|633.219971|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|18|NASDAQ|2020|03|05|15|30|8800|648|630.169983|644.98999|639.309998|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|19|NASDAQ|2020|03|04|15|30|9300|677.460022|634.210022|640.400024|677.460022|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|20|NASDAQ|2020|03|03|15|30|3100|656.299988|620.109985|625.76001|656.299988|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|21|NASDAQ|2020|03|02|15|30|10900|664.409973|617.23999|657.400024|617.23999|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|22|NASDAQ|2020|02|28|15|30|5700|643|616.080017|616.309998|616.080017|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|23|NASDAQ|2020|02|27|15|30|15700|641.119995|603|624.609985|622.73999|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|24|NASDAQ|2020|02|26|15|30|4700|650|626.539978|631.799988|640.609985|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|25|NASDAQ|2020|02|25|15|30|3800|692|654|660|692|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|26|NASDAQ|2020|02|24|15|30|2600|691.799988|688.23999|691.799988|688.450012|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|27|NASDAQ|2020|02|21|15|30|15100|705.539978|675.5|697.349976|685.929993|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|28|NASDAQ|2020|02|20|15|30|2200|687|687|687|687|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|29|NASDAQ|2020|02|19|15|30|4400|679.890015|663.5|676.179993|666.51001|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|30|NASDAQ|2020|02|18|15|30|10100|717.22998|667|667|677.539978|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|31|NASDAQ|2020|02|14|15|30|5200|683.780029|647|683.780029|657.52002|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|32|NASDAQ|2020|02|13|15|30|2700|670.51001|656.700012|656.700012|670.51001|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|33|NASDAQ|2020|02|12|15|30|2900|684.299988|671|671|684.299988|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|34|NASDAQ|2020|02|11|15|30|4800|689.719971|682.200012|682.200012|688.97998|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|35|NASDAQ|2020|02|10|15|30|9200|746.400024|675.75|687.02002|678.900024|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|36|NASDAQ|2020|02|07|15|30|3200|694|682.98999|682.98999|694|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|37|NASDAQ|2020|02|06|15|30|5800|702.539978|692.119995|693.799988|694.650024|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|38|NASDAQ|2020|02|05|15|30|11100|696|679|694.299988|695.119995|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|39|NASDAQ|2020|02|04|15|30|3400|705.75|693.090027|693.090027|705.75|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|40|NASDAQ|2020|02|03|15|30|8900|720.02002|697.150024|704.090027|715.059998|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|41|NASDAQ|2020|01|31|15|30|9200|721.98999|684.049988|719.190002|697.099976|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|42|NASDAQ|2020|01|30|15|30|6700|706.700012|689.059998|698.98999|705.159973|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|43|NASDAQ|2020|01|29|15|30|5000|714.599976|705.469971|708.599976|714.599976|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|44|NASDAQ|2020|01|28|15|30|5100|728.23999|717.929993|717.929993|723.840027|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|45|NASDAQ|2020|01|27|15|30|5400|726.409973|704.289978|721|704.289978|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|46|NASDAQ|2020|01|24|15|30|3700|738|720.030029|720.030029|738|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|47|NASDAQ|2020|01|23|15|30|6200|756.359985|743.5|751.400024|748.070007|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|48|NASDAQ|2020|01|22|15|30|6400|753.5|735.690002|743|739.549988|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|49|NASDAQ|2020|01|21|15|30|6800|738.549988|714.950012|735|714.950012|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|50|NASDAQ|2020|01|17|15|30|6200|722.659973|699.369995|707.539978|709.390015|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|51|NASDAQ|2020|01|16|15|30|4300|717.590027|700.469971|707.849976|700.469971|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|52|NASDAQ|2020|01|15|15|30|9200|719.200012|692.179993|699.98999|719.200012|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|53|NASDAQ|2020|01|14|15|30|4900|730|713.070007|718.789978|718.900024|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|54|NASDAQ|2020|01|13|15|30|10500|729.340027|712.130005|718.26001|712.130005|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|55|NASDAQ|2020|01|10|15|30|9700|725.400024|715.200012|718|718.080017|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|56|NASDAQ|2020|01|09|15|30|10000|728.390015|716.5|716.5|716.679993|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|57|NASDAQ|2020|01|08|15|30|6500|727.659973|715.210022|715.210022|727.659973|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|58|NASDAQ|2020|01|07|15|30|3600|740.679993|726.390015|727.47998|732.27002|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|59|NASDAQ|2020|01|06|15|30|8700|745.369995|724.309998|734.109985|730.849976|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|60|NASDAQ|2020|01|03|15|30|5800|741.700012|726.869995|734.650024|733.030029|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|61|NASDAQ|2020|01|02|15|30|6000|756.369995|738|739|753.330017|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|62|NASDAQ|2019|12|31|15|30|9900|756|743.109985|751.5|743.109985|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|63|NASDAQ|2019|12|30|15|30|10800|753.48999|731.869995|744.98999|736.5|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|64|NASDAQ|2019|12|27|15|30|6400|747|734.390015|734.390015|746.900024|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|65|NASDAQ|2019|12|26|15|30|13000|764.48999|740.700012|747.190002|758.669983|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|66|NASDAQ|2019|12|24|15|30|7500|761.52002|737.289978|757.460022|737.289978|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|67|NASDAQ|2019|12|23|15|30|14800|752|710.809998|742.619995|711.140015|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|68|NASDAQ|2019|12|20|15|30|15600|715|710.700012|715|713.799988|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|69|NASDAQ|2019|12|19|15|30|10600|718.97998|708.070007|711.02002|710|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|70|NASDAQ|2019|12|18|15|30|8900|710|701.76001|709.22998|708.469971|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|71|NASDAQ|2019|12|17|15|30|5300|712|683.52002|708.900024|700.780029|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|72|NASDAQ|2019|12|16|15|30|8700|714.609985|699.130005|699.130005|705.280029|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|73|NASDAQ|2019|12|13|15|30|8400|709.98999|683.719971|704|686.669983|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|74|NASDAQ|2019|12|12|15|30|5300|703|690|691.02002|690|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|75|NASDAQ|2019|12|11|15|30|5900|689.98999|675.340027|689.98999|688.780029|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|76|NASDAQ|2019|12|10|15|30|6600|703.01001|687.75|688.5|695.849976|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|77|NASDAQ|2019|12|09|15|30|6200|711.090027|698.539978|698.539978|707.960022|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|78|NASDAQ|2019|12|06|15|30|10200|711.469971|701.630005|706.26001|710.539978|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|79|NASDAQ|2019|12|05|15|30|8100|711|704.27002|707.169983|704.460022|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|80|NASDAQ|2019|12|04|15|30|6500|709.840027|702|706.340027|702.099976|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|81|NASDAQ|2019|12|03|15|30|6600|711.469971|699.820007|707.5|708.359985|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
ATRI|82|NASDAQ|2019|12|02|15|30|11600|727.469971|700.849976|712.02002|714.02002|medicalinstrumentssupplies|8.4|8|11.7|32.950001|0.95|616|usa|0|0|-|Mar 03 AMC|healthcare|66|1240
