empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AVGR|0|NASDAQ|2020|03|31|22|00|136082|0.465|0.4101|0.415|0.459|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|1|NASDAQ|2020|03|30|15|30|130400|0.48|0.42|0.439|0.43|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|2|NASDAQ|2020|03|27|14|30|117200|0.5|0.45|0.46|0.5|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|3|NASDAQ|2020|03|26|14|30|333300|0.526|0.431|0.475|0.511|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|4|NASDAQ|2020|03|25|14|30|340100|0.5|0.4|0.461|0.42|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|5|NASDAQ|2020|03|24|14|30|148000|0.41|0.37|0.409|0.4|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|6|NASDAQ|2020|03|23|14|30|82700|0.4|0.36|0.384|0.4|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|7|NASDAQ|2020|03|20|14|30|178400|0.4|0.33|0.385|0.352|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|8|NASDAQ|2020|03|19|14|30|272500|0.393|0.31|0.351|0.33|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|9|NASDAQ|2020|03|18|14|30|230100|0.41|0.31|0.322|0.396|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
AVGR|10|NASDAQ|2020|03|17|14|30|136200|0.41|0.374|0.39|0.41|medicalappliancesequipment|0.6|1|1.3|-|-|81|usa|1.3|0|41.700001|Mar 25 AMC|healthcare|19.9|7.22
