empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AVID|0|NASDAQ|2020|03|31|22|00|378783|7.0701|6.6|6.73|6.83|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|1|NASDAQ|2020|03|30|15|30|401500|7.3|6.59|6.72|7.3|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|2|NASDAQ|2020|03|27|14|30|352100|7.37|6.68|7.11|7.25|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|3|NASDAQ|2020|03|26|14|30|700200|7.33|6.49|7.31|6.49|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|4|NASDAQ|2020|03|25|14|30|671500|6.69|5.9|6.23|6.25|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|5|NASDAQ|2020|03|24|14|30|1413100|6.61|6|6.22|6.02|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|6|NASDAQ|2020|03|23|14|30|405600|5.99|5.5|5.81|5.83|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|7|NASDAQ|2020|03|20|14|30|525500|6.37|5.7|5.71|6.1|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|8|NASDAQ|2020|03|19|14|30|469100|6.27|5.42|6.05|5.54|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|9|NASDAQ|2020|03|18|14|30|417300|6|5.36|5.47|5.9|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|10|NASDAQ|2020|03|17|14|30|498600|6.34|5.62|6.02|5.94|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|11|NASDAQ|2020|03|16|14|30|556600|6.13|5.65|5.91|5.8|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|12|NASDAQ|2020|03|13|14|30|311600|6.76|5.98|6.23|6.66|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|13|NASDAQ|2020|03|12|14|30|390000|6.77|6.11|6.13|6.54|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|14|NASDAQ|2020|03|11|14|30|639100|7.69|7.1|7.22|7.32|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|15|NASDAQ|2020|03|10|14|30|995200|7.9|6.77|7.47|6.77|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|16|NASDAQ|2020|03|09|14|30|488800|6.79|6.04|6.15|6.5|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|17|NASDAQ|2020|03|06|15|30|253900|7.13|6.78|7.13|6.86|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|18|NASDAQ|2020|03|05|15|30|317700|7.37|7.03|7.11|7.35|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|19|NASDAQ|2020|03|04|15|30|276400|7.5|7.25|7.47|7.3|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|20|NASDAQ|2020|03|03|15|30|217800|7.53|7.15|7.22|7.15|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|21|NASDAQ|2020|03|02|15|30|333800|7.48|7|7.15|7.32|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|22|NASDAQ|2020|02|28|15|30|401100|7.61|7.17|7.39|7.6|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|23|NASDAQ|2020|02|27|15|30|235900|8.15|7.88|7.89|8|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|24|NASDAQ|2020|02|26|15|30|185200|8.36|8.13|8.21|8.23|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|25|NASDAQ|2020|02|25|15|30|376500|8.61|8.08|8.25|8.51|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|26|NASDAQ|2020|02|24|15|30|264900|8.61|7.2|8.47|8.28|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|27|NASDAQ|2020|02|21|15|30|206100|9|8.44|8.69|8.97|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|28|NASDAQ|2020|02|20|15|30|156700|9.01|8.8|8.99|8.93|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|29|NASDAQ|2020|02|19|15|30|142800|9.28|8.99|9.01|9.24|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|30|NASDAQ|2020|02|18|15|30|220500|9.6|9|9.21|9.14|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
AVID|31|NASDAQ|2020|02|14|15|30|250100|9.57|8.9|9.24|9|multimediagraphicssoftware|5.1|0.8|1|46.099998|-|1429|usa|-|-|25.73|Mar 09 AMC|technology|58.5|299.01001
