empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AVNW|0|NASDAQ|2020|03|31|22|00|15118|8.5|8.13|8.5|8.4|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|1|NASDAQ|2020|03|30|15|30|26000|8.65|7.92|8.3|7.95|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|2|NASDAQ|2020|03|27|14|30|9500|8.26|7.93|8.03|8.08|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|3|NASDAQ|2020|03|26|14|30|26700|8.46|7.94|8.27|7.94|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|4|NASDAQ|2020|03|25|14|30|16800|8.22|7.3|7.71|7.45|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|5|NASDAQ|2020|03|24|14|30|24600|8.3|7.45|7.57|7.79|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|6|NASDAQ|2020|03|23|14|30|10700|8.15|7.34|7.4|7.4|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|7|NASDAQ|2020|03|20|14|30|9300|7.82|7.4|7.5|7.72|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|8|NASDAQ|2020|03|19|14|30|31700|8.54|7.1|7.65|7.68|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
AVNW|9|NASDAQ|2020|03|18|14|30|20500|8.43|7.28|7.41|7.7|communicationequipment|2.6|1.2|1.4|7.27|-|708|usa|0.13|0|7.45|May 07 AMC|technology|55.900002|47.18
