empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BZUN|0|NASDAQ|2020|03|31|22|00|834754|28|26|27.940001|27.1|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|1|NASDAQ|2020|03|30|15|30|1015900|27.379999|25.709999|26.49|27.1|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|2|NASDAQ|2020|03|27|14|30|732500|28.299999|26.959999|27.02|28.299999|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|3|NASDAQ|2020|03|26|14|30|1134700|29.34|27.1|29.1|27.129999|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|4|NASDAQ|2020|03|25|14|30|1363800|28.040001|26.139999|27.790001|26.25|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|5|NASDAQ|2020|03|24|14|30|997900|26|24.9|26|25.129999|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|6|NASDAQ|2020|03|23|14|30|1194700|24.99|23.1|24.65|24.719999|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|7|NASDAQ|2020|03|20|14|30|1236200|26.870001|24.75|24.969999|26.870001|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|8|NASDAQ|2020|03|19|14|30|1698400|27.49|24.030001|25.42|26.16|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|9|NASDAQ|2020|03|18|14|30|3096900|28.02|23.700001|26.41|23.98|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|10|NASDAQ|2020|03|17|14|30|2859200|26.57|22.190001|26.280001|23.559999|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|11|NASDAQ|2020|03|16|14|30|2418800|27.799999|22.889999|22.959999|24.35|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|12|NASDAQ|2020|03|13|14|30|1655300|29.75|27.110001|28.48|28.25|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|13|NASDAQ|2020|03|12|14|30|1722400|29.75|27.32|28.1|28.459999|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|14|NASDAQ|2020|03|11|14|30|1206300|30.643999|29.809999|30.09|30.17|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|15|NASDAQ|2020|03|10|14|30|1241700|31.469999|30.33|30.780001|31.01|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|16|NASDAQ|2020|03|09|14|30|1149300|31.17|29.52|30.23|30.49|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|17|NASDAQ|2020|03|06|15|30|1600800|32.560001|31.825001|32.5|32.25|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|18|NASDAQ|2020|03|05|15|30|1551800|32.66|31.1|32.610001|31.34|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
BZUN|19|NASDAQ|2020|03|04|15|30|1091800|31.790001|30.77|31.549999|31.58|catalogmailorderhouses|1.09|2.1|2.4|41.830002|-|5141|china|0.97|0.72|39.049999|Mar 18 BMO|services|83.900002|1890
