empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CARO|0|NASDAQ|2020|03|31|22|00|186376|26.379999|25.18|25.870001|25.73|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|1|NASDAQ|2020|03|30|15|30|246500|26|24.629999|25.889999|24.9|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|2|NASDAQ|2020|03|27|14|30|198000|25.700001|24.48|24.700001|25.559999|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|3|NASDAQ|2020|03|26|14|30|354000|26.58|25.200001|26.52|25.530001|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|4|NASDAQ|2020|03|25|14|30|260700|26.15|24.690001|25.139999|25.59|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|5|NASDAQ|2020|03|24|14|30|386200|25.530001|24.059999|25.41|24.309999|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|6|NASDAQ|2020|03|23|14|30|343500|24.139999|21.58|23.040001|24.139999|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|7|NASDAQ|2020|03|20|14|30|526000|25.49|21.67|22.32|25.16|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|8|NASDAQ|2020|03|19|14|30|412300|25.77|21.82|25.17|22.75|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
CARO|9|NASDAQ|2020|03|18|14|30|351100|26.4|21.959999|23.27|22.450001|regionalmidatlanticbanks|3.5|-|-|9.23|1.55|836|usa|0.07|0.07|5.08|May 01 AMC|financial|54.599998|689.690002
