empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CATB|0|NASDAQ|2020|03|31|22|00|236702|4.37|4|4.15|4.12|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|1|NASDAQ|2020|03|30|15|30|141000|4.29|3.81|4.07|4|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|2|NASDAQ|2020|03|27|14|30|139300|4.06|3.84|3.96|3.99|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|3|NASDAQ|2020|03|26|14|30|135400|4.24|3.934|4.02|4.03|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|4|NASDAQ|2020|03|25|14|30|167100|4.13|3.745|4.08|3.93|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|5|NASDAQ|2020|03|24|14|30|196600|4.16|3.56|3.86|3.6|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|6|NASDAQ|2020|03|23|14|30|183700|3.45|3.18|3.44|3.31|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|7|NASDAQ|2020|03|20|14|30|259500|3.34|2.9|3.2|2.97|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|8|NASDAQ|2020|03|19|14|30|412100|3.06|2.8|2.85|2.86|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|9|NASDAQ|2020|03|18|14|30|260000|3.48|2.74|2.77|3.3|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|10|NASDAQ|2020|03|17|14|30|197300|3.58|3.204|3.28|3.33|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|11|NASDAQ|2020|03|16|14|30|184700|3.535|3.245|3.26|3.39|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|12|NASDAQ|2020|03|13|14|30|208500|4.31|3.6|3.79|4.31|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|13|NASDAQ|2020|03|12|14|30|285800|4.3|3.81|3.95|4.1|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|14|NASDAQ|2020|03|11|14|30|286100|4.844|4.359|4.44|4.7|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|15|NASDAQ|2020|03|10|14|30|253400|5.14|4.62|4.79|5.14|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|16|NASDAQ|2020|03|09|14|30|208400|4.89|4.57|4.7|4.77|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|17|NASDAQ|2020|03|06|15|30|124300|5.19|4.81|4.91|5|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|18|NASDAQ|2020|03|05|15|30|70600|5.26|5.01|5.05|5.14|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|19|NASDAQ|2020|03|04|15|30|111400|5.37|5.11|5.21|5.11|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|20|NASDAQ|2020|03|03|15|30|103100|5.386|4.93|5.03|5.23|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|21|NASDAQ|2020|03|02|15|30|123200|5.26|4.85|5.14|4.89|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|22|NASDAQ|2020|02|28|15|30|183000|4.91|4.61|4.88|4.66|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|23|NASDAQ|2020|02|27|15|30|104100|4.84|4.579|4.72|4.72|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|24|NASDAQ|2020|02|26|15|30|141700|5.095|4.725|4.82|4.74|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|25|NASDAQ|2020|02|25|15|30|399200|5.29|4.7|4.87|5.09|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|26|NASDAQ|2020|02|24|15|30|340300|5.32|5.08|5.11|5.25|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|27|NASDAQ|2020|02|21|15|30|84700|5.6|5.4|5.47|5.55|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|28|NASDAQ|2020|02|20|15|30|135200|5.661|5.34|5.55|5.59|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|29|NASDAQ|2020|02|19|15|30|186700|5.7|5.5|5.575|5.5|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|30|NASDAQ|2020|02|18|15|30|162000|5.67|5.37|5.43|5.37|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|31|NASDAQ|2020|02|14|15|30|87200|5.49|5.3|5.37|5.35|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
CATB|32|NASDAQ|2020|02|13|15|30|76400|5.39|5.2|5.34|5.31|biotechnology|0.57|7.7|7.7|-|-|27|usa|0|0|6.6|Mar 10 BMO|healthcare|35.5|75.360001
