empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CDTX|0|NASDAQ|2020|03|31|22|00|95291|2.52|2.3901|2.48|2.43|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|1|NASDAQ|2020|03|30|15|30|74500|2.52|2.39|2.39|2.46|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|2|NASDAQ|2020|03|27|14|30|119800|2.5|2.342|2.47|2.41|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|3|NASDAQ|2020|03|26|14|30|180300|2.62|2.37|2.46|2.43|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|4|NASDAQ|2020|03|25|14|30|197200|2.5|2.27|2.45|2.38|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|5|NASDAQ|2020|03|24|14|30|104700|2.4|2.2|2.38|2.28|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|6|NASDAQ|2020|03|23|14|30|103300|2.21|2|2.21|2.08|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|7|NASDAQ|2020|03|20|14|30|241900|2.3|2|2.09|2.05|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|8|NASDAQ|2020|03|19|14|30|99700|2.04|1.74|1.98|1.74|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|9|NASDAQ|2020|03|18|14|30|304000|1.82|1.61|1.74|1.75|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|10|NASDAQ|2020|03|17|14|30|207800|1.86|1.62|1.8|1.77|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|11|NASDAQ|2020|03|16|14|30|589900|2.04|1.3|1.74|1.3|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|12|NASDAQ|2020|03|13|14|30|655300|2.59|2.06|2.29|2.25|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|13|NASDAQ|2020|03|12|14|30|415700|2.34|2.02|2.12|2.27|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|14|NASDAQ|2020|03|11|14|30|480600|2.69|2.39|2.48|2.59|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|15|NASDAQ|2020|03|10|14|30|584000|2.74|2.34|2.64|2.74|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|16|NASDAQ|2020|03|09|14|30|196100|2.78|2.57|2.65|2.72|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|17|NASDAQ|2020|03|06|15|30|389000|3.033|2.84|2.91|3.02|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|18|NASDAQ|2020|03|05|15|30|600200|3.17|2.94|3.06|3.02|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|19|NASDAQ|2020|03|04|15|30|1902500|3.45|2.67|3.15|2.79|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|20|NASDAQ|2020|03|03|15|30|212300|3.05|2.83|2.86|2.95|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|21|NASDAQ|2020|03|02|15|30|260500|3|2.72|2.96|2.95|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|22|NASDAQ|2020|02|28|15|30|290500|2.93|2.75|2.9|2.8|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|23|NASDAQ|2020|02|27|15|30|169500|2.97|2.71|2.84|2.9|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|24|NASDAQ|2020|02|26|15|30|192000|2.95|2.83|2.9|2.85|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
CDTX|25|NASDAQ|2020|02|25|15|30|429000|3.02|2.72|2.88|3|biotechnology|1.7|2.2|2.2|-|-|68|usa|0.26|0|-10.8|Mar 05|healthcare|44.799999|100.089996
