empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CELH|0|NASDAQ|2020|03|31|22|00|207636|4.24|4.08|4.21|4.12|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|1|NASDAQ|2020|03|30|15|30|240900|4.2|4|4.11|4.2|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|2|NASDAQ|2020|03|27|14|30|355800|4.27|3.87|4.1|4|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|3|NASDAQ|2020|03|26|14|30|584200|4.14|3.88|4.06|3.88|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|4|NASDAQ|2020|03|25|14|30|405600|4.22|3.76|3.87|3.98|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|5|NASDAQ|2020|03|24|14|30|618800|4.49|3.91|4|4.49|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|6|NASDAQ|2020|03|23|14|30|465900|4.25|3.69|4.24|3.83|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|7|NASDAQ|2020|03|20|14|30|598700|4.34|3.76|3.86|4.21|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|8|NASDAQ|2020|03|19|14|30|495800|4.19|3.77|4.17|3.95|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
CELH|9|NASDAQ|2020|03|18|14|30|588000|4.02|3.66|3.97|3.78|beveragessoftdrinks|1.2|1.4|1.9|23.65|-|120|usa|0.14|0|264.149994|Mar 12 BMO|consumergoods|47.700001|288.640015
