empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CFRX|0|NASDAQ|2020|03|31|22|00|43944|6.19|5.63|5.76|5.83|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|1|NASDAQ|2020|03|30|15|30|101100|6.47|5.7|5.85|6.47|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|2|NASDAQ|2020|03|27|14|30|51300|6.65|6.12|6.47|6.19|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|3|NASDAQ|2020|03|26|14|30|42300|6.61|6.09|6.5|6.34|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|4|NASDAQ|2020|03|25|14|30|148000|6.961|5.81|6.25|6.76|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|5|NASDAQ|2020|03|24|14|30|95800|6.879|6.321|6.46|6.85|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|6|NASDAQ|2020|03|23|14|30|59800|6.69|6|6.37|6.66|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|7|NASDAQ|2020|03|20|14|30|116700|7.036|6.1|6.53|6.53|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|8|NASDAQ|2020|03|19|14|30|93800|6.396|5.75|6.38|5.89|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|9|NASDAQ|2020|03|18|14|30|161000|6.14|5.35|6|5.98|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|10|NASDAQ|2020|03|17|14|30|151100|6.63|5.504|6|5.51|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|11|NASDAQ|2020|03|16|14|30|184600|6.69|5.55|5.57|6.69|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|12|NASDAQ|2020|03|13|14|30|199600|7.2|5.5|7.03|5.79|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|13|NASDAQ|2020|03|12|14|30|260300|6.8|5.31|5.5|6.51|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|14|NASDAQ|2020|03|11|14|30|192800|7.02|6.5|6.96|6.83|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
CFRX|15|NASDAQ|2020|03|10|14|30|229800|8.25|6.92|6.96|7.84|biotechnology|0.3|3.1|3.1|-|-|24|usa|0|0|17.6|Mar 26|healthcare|38.200001|88.760002
