empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CLNE|0|NASDAQ|2020|03|31|22|00|1190926|1.8464|1.67|1.78|1.7|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|1|NASDAQ|2020|03|30|15|30|1297400|1.73|1.58|1.71|1.7|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|2|NASDAQ|2020|03|27|14|30|1179500|1.8|1.63|1.7|1.69|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|3|NASDAQ|2020|03|26|14|30|1417500|1.79|1.6|1.77|1.6|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|4|NASDAQ|2020|03|25|14|30|1041400|1.73|1.54|1.62|1.67|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|5|NASDAQ|2020|03|24|14|30|1440400|1.64|1.49|1.64|1.5|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|6|NASDAQ|2020|03|23|14|30|1578200|1.59|1.38|1.44|1.5|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|7|NASDAQ|2020|03|20|14|30|2053300|1.75|1.48|1.48|1.58|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|8|NASDAQ|2020|03|19|14|30|1779000|1.67|1.32|1.57|1.35|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|9|NASDAQ|2020|03|18|14|30|2008900|1.55|1.22|1.36|1.5|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|10|NASDAQ|2020|03|17|14|30|1781400|1.5|1.36|1.5|1.44|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|11|NASDAQ|2020|03|16|14|30|2038800|1.52|1.22|1.38|1.22|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|12|NASDAQ|2020|03|13|14|30|3891000|1.58|1.11|1.58|1.34|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|13|NASDAQ|2020|03|12|14|30|3152900|1.32|1.05|1.08|1.29|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|14|NASDAQ|2020|03|11|14|30|5138400|1.85|1.26|1.32|1.83|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|15|NASDAQ|2020|03|10|14|30|1929800|2.1|1.8|2.02|2|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
CLNE|16|NASDAQ|2020|03|09|14|30|1764700|2|1.78|1.79|1.92|gasutilities|1.7|1.6|1.8|18.940001|-|412|usa|0.17|0.07|-100|Mar 17 AMC|utilities|29.299999|381.029999
