empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CRSAU|0|NASDAQ|2020|03|31|22|00|18010|10.25|10.05|10.25|10.05|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|1|NASDAQ|2020|03|30|15|30|0|9.88|9.88|9.88|9.88|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|2|NASDAQ|2020|03|27|14|30|0|9.88|9.88|9.88|9.88|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|3|NASDAQ|2020|03|26|14|30|0|9.88|9.88|9.88|9.88|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|4|NASDAQ|2020|03|25|14|30|43000|9.88|9.88|9.88|9.88|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|5|NASDAQ|2020|03|24|14|30|0|9.8|9.8|9.8|9.8|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|6|NASDAQ|2020|03|23|14|30|215|9.8|9.8|9.8|9.8|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|7|NASDAQ|2020|03|20|14|30|0|10.05|10.05|10.05|10.05|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|8|NASDAQ|2020|03|19|14|30|4300|10.05|9.85|10.05|9.85|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|9|NASDAQ|2020|03|18|14|30|1502|10.15|9.98|10.15|9.98|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|10|NASDAQ|2020|03|17|14|30|15001|10.35|9.85|10.3025|9.85|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|11|NASDAQ|2020|03|16|14|30|3806|10.71|9.76|9.76|10.71|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|12|NASDAQ|2020|03|13|14|30|0|10.2|10.2|10.2|10.2|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|13|NASDAQ|2020|03|12|14|30|15504|10.2799|10.2|10.2|10.2|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|14|NASDAQ|2020|03|11|14|30|21367|10.41|10.25|10.39|10.3991|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|15|NASDAQ|2020|03|10|14|30|1422|10.4|10.3529|10.4|10.3529|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|16|NASDAQ|2020|03|09|14|30|1087836|10.48|10.23|10.25|10.41|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|17|NASDAQ|2020|03|06|15|30|1100|10.41|10.41|10.41|10.41|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|18|NASDAQ|2020|03|05|15|30|0|10.4532|10.4532|10.4532|10.4532|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|19|NASDAQ|2020|03|04|15|30|1346|10.4532|10.4532|10.4532|10.4532|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|20|NASDAQ|2020|03|03|15|30|0|10.41|10.41|10.41|10.41|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|21|NASDAQ|2020|03|02|15|30|0|10.41|10.41|10.41|10.41|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|22|NASDAQ|2020|02|28|15|30|11800|10.4621|10.41|10.42|10.45|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
CRSAU|23|NASDAQ|2020|02|27|15|30|5653|10.55|10.48|10.48|10.55|conglomerates|-|1.3|1.3|116.480003|-|-|usa|0|0|-|-|conglomerates|26.5|513.01001
