empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DVLU|0|NASDAQ|2020|03|31|21|48|1206|12.31|11.965|12.015|12.31|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|1|NASDAQ|2020|03|30|15|30|6100|12.31|11.8|12.31|12|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|2|NASDAQ|2020|03|27|14|30|1600|12.27|12.14|12.16|12.22|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|3|NASDAQ|2020|03|26|14|30|62600|12.72|12.1|12.47|12.1|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|4|NASDAQ|2020|03|25|14|30|2400|12.23|10.95|12.03|10.95|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|5|NASDAQ|2020|03|24|14|30|13600|10.7|10.17|10.68|10.17|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|6|NASDAQ|2020|03|23|14|30|54400|10.1|9.37|9.39|10.1|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|7|NASDAQ|2020|03|20|14|30|4900|10.86|10.34|10.34|10.72|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|8|NASDAQ|2020|03|19|14|30|2400|10.55|10.34|10.54|10.34|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|9|NASDAQ|2020|03|18|14|30|9400|10.78|9.33|9.67|10.78|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|10|NASDAQ|2020|03|17|14|30|38800|11.84|11.38|11.42|11.84|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|11|NASDAQ|2020|03|16|14|30|1300|13.3|12.13|12.13|13.3|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|12|NASDAQ|2020|03|13|14|30|8600|13.63|12.7|13.63|12.9|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|13|NASDAQ|2020|03|12|14|30|55100|14|12.75|12.98|14|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|14|NASDAQ|2020|03|11|14|30|3100|14.57|14.35|14.35|14.57|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|15|NASDAQ|2020|03|10|14|30|8400|15.57|14.82|15.57|15.26|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|16|NASDAQ|2020|03|09|14|30|23500|15.57|14.95|14.95|15.31|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|17|NASDAQ|2020|03|06|15|30|3700|16.799999|16.35|16.700001|16.690001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|18|NASDAQ|2020|03|05|15|30|1300|17.57|17.24|17.24|17.57|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|19|NASDAQ|2020|03|04|15|30|5900|17.84|17.43|17.82|17.48|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|20|NASDAQ|2020|03|03|15|30|700|17.68|17.34|17.35|17.68|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|21|NASDAQ|2020|03|02|15|30|10400|17.799999|17.08|17.790001|17.08|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|22|NASDAQ|2020|02|28|15|30|2700|17.129999|16.75|17.02|16.75|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|23|NASDAQ|2020|02|27|15|30|7200|17.969999|17.42|17.469999|17.42|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|24|NASDAQ|2020|02|26|15|30|600|18.6|18.16|18.16|18.58|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|25|NASDAQ|2020|02|25|15|30|1000|18.85|18.440001|18.440001|18.85|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|26|NASDAQ|2020|02|24|15|30|8600|19.49|19.120001|19.190001|19.49|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|27|NASDAQ|2020|02|21|15|30|0|19.93|19.93|19.93|19.93|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|28|NASDAQ|2020|02|20|15|30|5000|20.09|19.93|19.93|20.08|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|29|NASDAQ|2020|02|19|15|30|500|20.030001|19.98|19.98|20.030001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|30|NASDAQ|2020|02|18|15|30|0|19.950001|19.950001|19.950001|19.950001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|31|NASDAQ|2020|02|14|15|30|5100|20|19.950001|19.950001|19.99|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|32|NASDAQ|2020|02|13|15|30|2000|19.99|19.98|19.99|19.98|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|33|NASDAQ|2020|02|12|15|30|3400|20.01|19.940001|19.99|20|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|34|NASDAQ|2020|02|11|15|30|800|19.93|19.860001|19.860001|19.860001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|35|NASDAQ|2020|02|10|15|30|1900|19.65|19.57|19.65|19.6|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|36|NASDAQ|2020|02|07|15|30|0|19.889999|19.889999|19.889999|19.889999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|37|NASDAQ|2020|02|06|15|30|2600|19.9|19.889999|19.889999|19.889999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|38|NASDAQ|2020|02|05|15|30|3500|19.879999|19.809999|19.879999|19.809999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|39|NASDAQ|2020|02|04|15|30|1000|19.629999|19.6|19.629999|19.6|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|40|NASDAQ|2020|02|03|15|30|1400|19.48|19.459999|19.48|19.469999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|41|NASDAQ|2020|01|31|15|30|93100|19.34|19.219999|19.34|19.34|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|42|NASDAQ|2020|01|30|15|30|800|19.559999|19.440001|19.559999|19.440001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|43|NASDAQ|2020|01|29|15|30|10200|19.639999|19.57|19.59|19.639999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|44|NASDAQ|2020|01|28|15|30|600|19.639999|19.559999|19.639999|19.559999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|45|NASDAQ|2020|01|27|15|30|600|19.51|19.450001|19.450001|19.469999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|46|NASDAQ|2020|01|24|15|30|4900|19.780001|19.74|19.74|19.75|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|47|NASDAQ|2020|01|23|15|30|1500|20|19.85|19.98|19.85|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|48|NASDAQ|2020|01|22|15|30|1700|20.02|19.950001|19.98|20.02|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|49|NASDAQ|2020|01|21|15|30|6500|20.040001|19.93|19.93|20|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|50|NASDAQ|2020|01|17|15|30|1700|20.129999|20.059999|20.09|20.129999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|51|NASDAQ|2020|01|16|15|30|700|20.040001|20.01|20.040001|20.01|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|52|NASDAQ|2020|01|15|15|30|3200|19.790001|19.76|19.790001|19.790001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|53|NASDAQ|2020|01|14|15|30|2000|19.91|19.799999|19.799999|19.91|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|54|NASDAQ|2020|01|13|15|30|6200|19.809999|19.719999|19.809999|19.719999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|55|NASDAQ|2020|01|10|15|30|2200|19.790001|19.690001|19.790001|19.690001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|56|NASDAQ|2020|01|09|15|30|200|19.709999|19.709999|19.709999|19.709999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|57|NASDAQ|2020|01|08|15|30|0|19.530001|19.530001|19.530001|19.530001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|58|NASDAQ|2020|01|07|15|30|1900|19.610001|19.530001|19.530001|19.610001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|59|NASDAQ|2020|01|06|15|30|700|19.540001|19.4|19.540001|19.4|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|60|NASDAQ|2020|01|03|15|30|4600|19.639999|19.540001|19.6|19.559999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|61|NASDAQ|2020|01|02|15|30|900|19.75|19.67|19.75|19.719999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|62|NASDAQ|2019|12|31|15|30|36300|19.700001|19.59|19.59|19.620001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|63|NASDAQ|2019|12|30|15|30|7800|19.67|19.610001|19.610001|19.629999|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|64|NASDAQ|2019|12|27|15|30|4300|19.700001|19.66|19.66|19.67|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|65|NASDAQ|2019|12|26|15|30|400|19.77|19.700001|19.700001|19.77|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
DVLU|66|NASDAQ|2019|12|24|15|30|0|19.700001|19.700001|19.700001|19.700001|exchangetradedfund|-|-|-|-|2|-|usa|-|-|-|-|financial|-|-
