empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ESTA|0|NASDAQ|2020|03|31|22|00|99488|14.45|13.5|14.45|13.75|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|1|NASDAQ|2020|03|30|15|30|109600|14.01|13.23|13.7|13.98|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|2|NASDAQ|2020|03|27|14|30|123400|14.18|12.65|13.8|13|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|3|NASDAQ|2020|03|26|14|30|82600|13.42|12.31|13.3|12.88|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|4|NASDAQ|2020|03|25|14|30|96000|13.34|12.09|12.79|12.7|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|5|NASDAQ|2020|03|24|14|30|84600|13.41|11.52|12.59|11.52|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|6|NASDAQ|2020|03|23|14|30|52600|12.67|10.65|11.57|11.7|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|7|NASDAQ|2020|03|20|14|30|142000|12.84|11.6|11.66|12|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|8|NASDAQ|2020|03|19|14|30|1177700|11.88|8|11.7|8.1|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|9|NASDAQ|2020|03|18|14|30|252500|14.4|7.56|7.56|13.92|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|10|NASDAQ|2020|03|17|14|30|183400|14.84|12.12|14.58|12.74|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|11|NASDAQ|2020|03|16|14|30|170400|14.62|12|12.79|14.62|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|12|NASDAQ|2020|03|13|14|30|517300|14.97|13.06|13.95|14.5|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|13|NASDAQ|2020|03|12|14|30|157300|14.93|13.58|13.58|14.26|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|14|NASDAQ|2020|03|11|14|30|169900|16.18|15.09|15.15|15.91|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|15|NASDAQ|2020|03|10|14|30|207100|17.559999|15.65|16.07|17.299999|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|16|NASDAQ|2020|03|09|14|30|132300|18.639999|16.799999|16.809999|18.24|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|17|NASDAQ|2020|03|06|15|30|94100|21.5|18.690001|19.08|19.389999|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|18|NASDAQ|2020|03|05|15|30|72200|20.25|19.41|19.91|20.25|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|19|NASDAQ|2020|03|04|15|30|105600|20.75|19.48|20.610001|19.48|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|20|NASDAQ|2020|03|03|15|30|72700|20.709999|18.85|19.27|20.01|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|21|NASDAQ|2020|03|02|15|30|305100|21.860001|19.889999|19.93|20.34|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|22|NASDAQ|2020|02|28|15|30|112600|21.860001|19.870001|20.23|19.870001|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|23|NASDAQ|2020|02|27|15|30|102500|20.540001|19.91|20.02|20.540001|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|24|NASDAQ|2020|02|26|15|30|163200|21.23|20.41|20.68|20.41|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|25|NASDAQ|2020|02|25|15|30|301000|22.549999|19.91|20.32|22.549999|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|26|NASDAQ|2020|02|24|15|30|105000|25.25|22.02|22.58|23.27|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|27|NASDAQ|2020|02|21|15|30|52300|24.67|23.74|23.91|24.610001|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|28|NASDAQ|2020|02|20|15|30|31300|25.809999|24.459999|24.639999|24.82|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|29|NASDAQ|2020|02|19|15|30|47700|26.700001|24.25|24.889999|24.82|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|30|NASDAQ|2020|02|18|15|30|63600|26.540001|24.27|24.75|24.77|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|31|NASDAQ|2020|02|14|15|30|44100|25.16|24.450001|24.84|25.040001|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|32|NASDAQ|2020|02|13|15|30|70100|25.5|24.75|25.030001|25.290001|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|33|NASDAQ|2020|02|12|15|30|37500|25.65|24.91|25.4|25.65|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
ESTA|34|NASDAQ|2020|02|11|15|30|63700|25.940001|25.25|25.57|25.77|medicalappliancesequipment|11.28|2.9|4.1|-|-|602|costarica|1.22|1.21|15.8|Mar 16 BMO|healthcare|45.799999|324.839996
