empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FEM|0|NASDAQ|2020|03|31|22|00|199819|17.92|17.52|17.59|17.75|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|1|NASDAQ|2020|03|30|15|30|298900|17.620001|17.25|17.559999|17.370001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|2|NASDAQ|2020|03|27|14|30|947700|17.66|17.34|17.379999|17.51|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|3|NASDAQ|2020|03|26|14|30|412200|18.48|17.799999|18.42|17.959999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|4|NASDAQ|2020|03|25|14|30|412700|17.969999|17.09|17.719999|17.09|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|5|NASDAQ|2020|03|24|14|30|627600|17.09|16.77|16.969999|16.84|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|6|NASDAQ|2020|03|23|14|30|527600|16.209999|15.61|15.84|16.209999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|7|NASDAQ|2020|03|20|14|30|332700|16.92|16.120001|16.190001|16.76|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|8|NASDAQ|2020|03|19|14|30|669300|16.25|15.4|16.08|15.62|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|9|NASDAQ|2020|03|18|14|30|499600|16.48|15.26|15.72|15.84|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|10|NASDAQ|2020|03|17|14|30|481800|17.67|16.709999|17.57|17.1|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|11|NASDAQ|2020|03|16|14|30|462100|17.51|15.47|16.66|16.559999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|12|NASDAQ|2020|03|13|14|30|608200|19.559999|18.18|19.370001|19.469999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|13|NASDAQ|2020|03|12|14|30|1017700|18.389999|17.379999|17.84|18.08|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|14|NASDAQ|2020|03|11|14|30|372700|21.01|20.09|20.379999|20.860001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|15|NASDAQ|2020|03|10|14|30|564700|21.559999|20.940001|21.549999|21.370001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|16|NASDAQ|2020|03|09|14|30|298900|21.190001|16.559999|20.58|20.809999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|17|NASDAQ|2020|03|06|15|30|178500|22.76|22.469999|22.65|22.530001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|18|NASDAQ|2020|03|05|15|30|235800|23.540001|22.959999|23.07|23.41|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|19|NASDAQ|2020|03|04|15|30|170500|23.809999|23.549999|23.75|23.809999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|20|NASDAQ|2020|03|03|15|30|300300|24.17|23.360001|23.57|23.67|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|21|NASDAQ|2020|03|02|15|30|317200|23.6|23.02|23.6|23.309999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|22|NASDAQ|2020|02|28|15|30|1616300|23.120001|22.280001|23.049999|22.629999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|23|NASDAQ|2020|02|27|15|30|476200|23.809999|23.370001|23.4|23.780001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|24|NASDAQ|2020|02|26|15|30|377200|24.459999|24.059999|24.120001|24.190001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|25|NASDAQ|2020|02|25|15|30|322000|24.700001|24.049999|24.08|24.700001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|26|NASDAQ|2020|02|24|15|30|220600|24.67|24.389999|24.57|24.57|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|27|NASDAQ|2020|02|21|15|30|136600|25.629999|25.41|25.559999|25.48|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|28|NASDAQ|2020|02|20|15|30|148900|25.66|25.41|25.49|25.610001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|29|NASDAQ|2020|02|19|15|30|165200|25.93|25.82|25.92|25.9|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|30|NASDAQ|2020|02|18|15|30|349900|25.83|25.700001|25.700001|25.809999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|31|NASDAQ|2020|02|14|15|30|77600|25.98|25.799999|25.879999|25.98|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|32|NASDAQ|2020|02|13|15|30|89300|25.93|25.780001|25.809999|25.809999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|33|NASDAQ|2020|02|12|15|30|143700|26.01|25.860001|25.959999|25.889999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|34|NASDAQ|2020|02|11|15|30|160300|25.780001|25.6|25.700001|25.65|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|35|NASDAQ|2020|02|10|15|30|107100|25.33|25.190001|25.280001|25.280001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|36|NASDAQ|2020|02|07|15|30|192600|25.530001|25.25|25.290001|25.530001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|37|NASDAQ|2020|02|06|15|30|194400|26.040001|25.75|25.790001|26.040001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|38|NASDAQ|2020|02|05|15|30|84000|26.209999|25.99|26|26.209999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|39|NASDAQ|2020|02|04|15|30|98600|25.98|25.84|25.879999|25.870001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|40|NASDAQ|2020|02|03|15|30|178700|25.360001|25.219999|25.34|25.24|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|41|NASDAQ|2020|01|31|15|30|211000|25.32|25|25.129999|25.309999|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|42|NASDAQ|2020|01|30|15|30|135500|25.690001|25.32|25.68|25.58|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|43|NASDAQ|2020|01|29|15|30|86200|26.09|25.93|25.959999|26.09|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|44|NASDAQ|2020|01|28|15|30|150300|25.940001|25.68|25.940001|25.860001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
FEM|45|NASDAQ|2020|01|27|15|30|190400|25.83|25.5|25.67|25.690001|exchangetradedfund|-|-|-|-|3.81|-|usa|-|-|-|-|financial|-|-
